s_id,Startup_Name,Location,Industry
64f57294e4b0c7662b3b0798,Thalaron Global,"Bengaluru Urban,Karnataka",Professional & Commercial Services
64f571d7e4b0c7662b3b0740,Jhugadia Metal LLP,"Kolkata,West Bengal",Non- Renewable Energy
64f57179e4b0c7662b3b0720,DEBASTUTI TECH SALAHAKAR PRIVATE LIMITED,"Dharwad,Karnataka",Professional & Commercial Services
64f05134e4b0c7662b39d16f,JOGAD EDIFICE (OPC) PRIVATE LIMITED,"Pune,Maharashtra",Design
64f05088e4b0c7662b39d0fc,Flare Innovations,"Chennai,Tamil Nadu",Agriculture
64f05068e4b0c7662b39d0dd,REHMAT DE REAL RECYCLER,"New Delhi,Delhi",Other Specialty Retailers
64f05003e4b0c7662b39d05d,BMS ACADEMY,"Jaipur,Rajasthan",Education
64f04dd1e4b0c7662b39cf83,CLASSMITRA TECH PRIVATE LIMITED,",Maharashtra",
64f04d9fe4b0c7662b39cf68,FarmLink,"Chennai,Tamil Nadu",Internet of Things
64f04d91e4b0c7662b39cf60,Express Car Clinic,"Pune,Maharashtra",Automotive
64f04c43e4b0c7662b39cf00,Nandii Indigenous EV Carts,"Bhopal,Madhya Pradesh",Automotive
64f04bffe4b0c7662b39ceee,MYCOWRAP,"Tezpur,Assam",Biotechnology
64f300b3e4b0c7662b3a6090,VALESHVAR BIO TECH PRIVATE LIMITED,"Bharuch,Gujarat",Chemicals
64f300a0e4b0c7662b3a608b,RATANRAJ PACKAGING PRIVATE LIMITED,"Mumbai,Maharashtra",Analytics
64f3001ee4b0c7662b3a6057,DHANISHTA SHIPPING AND LOGISTICS PRIVATE LIMITED,"Kakinada,Andhra Pradesh",Logistics
64f2ffe9e4b0c7662b3a603c,Map Corporation,"Ahmedabad,Gujarat",Marketing
64f2ff1ce4b0c7662b3a5ff0,WYD TECHNICAL SOLUTIONS INDIA PRIVATE LIMITED,"Lucknow,Uttar Pradesh",Green Technology
64f2fdd1e4b0c7662b3a5f8f,Mineplus Chemicals Llp,"Dhanbad,Jharkhand",Construction
64f2fda2e4b0c7662b3a5f81,DIVYATA CONSULTANCY (OPC) PRIVATE LIMITED,"Vadodara,Gujarat",Finance Technology
64f2fd26e4b0c7662b3a5f62,RESOURCE SHIPPING,"Navi Mumbai,Maharashtra",Logistics
64f2fcc0e4b0c7662b3a5f4e,SRIKARI TECH INDIA PRIVATE LIMITED,"Varanasi,Uttar Pradesh",Architecture Interior Design
64f818aae4b00b8c0d98de14,Neel Coaters,"Bengaluru Urban,Karnataka",Other Specialty Retailers
64f81761e4b00b8c0d98dd98,EDUHOLIC EDTECH INDIA PRIVATE LIMITED,"Srikakulam,Andhra Pradesh",Education
64f815d1e4b00b8c0d98dcd5,APT SKILLS SOFTWARE SERVICES PRIVATE LIMITED,"Coimbatore,Tamil Nadu",IT Services
64f815ace4b00b8c0d98dcc3,BIOBURG LIFESCIENCES PRIVATE LIMITED,"West Delhi,Delhi",Healthcare & Lifesciences
64f8136ee4b00b8c0d98dbca,XOFY Tech Private Limited,"Gurugram,Haryana",IT Services
64f8131ae4b00b8c0d98dba5,Neomed India,"Bengaluru Urban,Karnataka",Healthcare & Lifesciences
64f81298e4b00b8c0d98db70,BONG BONG ACADEMY PRIVATE LIMITED,"North 24 Parganas,West Bengal",Education
64f8128be4b00b8c0d98db67,3D Loops,"Hyderabad,Telangana",Transportation & Storage
64f81132e4b00b8c0d98dafa,UNIQUE COCONUT PRODUCTS PRIVATE LIMITED,"Hassan,Karnataka",Agriculture
64f579f5e4b0c7662b3b0a9a,Brand : EVIXYO / Company - Anju Beauty Collections,"Mumbai,Maharashtra",Retail
64f57999e4b0c7662b3b0a71,CLETZA LIFESCIENCE LLP,"Ahmedabad,Gujarat",Healthcare & Lifesciences
64f5796be4b0c7662b3b0a5f,SimTech VR,"Chennai,Tamil Nadu",AR VR (Augmented + Virtual Reality)
64f5795ae4b0c7662b3b0a4b,SARAGA VENTURES PRIVATE LIMITED,"Ranga Reddy,Telangana",Other Specialty Retailers
64f57912e4b0c7662b3b0a27,COREYE MANUFACTURING AND SERVICES LLP,"Patna,Bihar",Security Solutions
64f5783de4b0c7662b3b09d3,Vedlegum LLP,"North West Delhi,Delhi",Professional & Commercial Services
