Startup_Name,Location,Industry
manpower supply,"Deoria,Uttar Pradesh",Construction
ST INFOTECH IT SOLUTION,"Hooghly,West Bengal",IT Services
Thelewala,"Indore,Madhya Pradesh",Social Impact
Swastik Multi Management Private Limited,"Thane,Maharashtra",AI
Macha Community,"Ballari,Karnataka",Enterprise Software
RAJ AGRO FARMING,"Jhunjhunu,Rajasthan",Agriculture
JGRIVE TECH PRIVATE LIMITED,"Bengaluru,Karnataka",Internet of Things
SV DESIGN 4 SPACE LLP,"Pune,Maharashtra",Architecture Interior Design
Hydroxpress India Private Limited,"Pune,Maharashtra",Automotive
QUICK RESPONSE FINANCIAL TECHNOLOGIES PRIVATE LIMITED,"Bengaluru Urban,Karnataka",Finance Technology
KIRTEE EDIBLES PRIVATE LIMITED,"Aurangabad,Maharashtra",Agriculture
Collaber Media Technology LLP,"Delhi,Delhi",Social Network
ROHANSH DEVELOPERS PRIVATE LIMITED,"Ambala,Haryana",Construction
Abhinav Bhaskar,"Patna,Bihar",
Xplor App,"Thiruvananthapuram,Kerala",Transportation & Storage
M/S Om Constructon And Suppliers,"Ballia,Uttar Pradesh",Construction
ABIOT SOLUTIONS PRIVATE LIMITED,"Bengaluru Urban,Karnataka",Internet of Things
MAHARAJA D'SIGNERS &amp; GARMENTS (INDIA) PRIVATE LIMITED,"Hyderabad,Telangana",Fashion
MARS WEB ( MEGHA RETAIL SERVICES WEB ),"Noida,Uttar Pradesh",Retail
JUSTON SERVICES PRIVATE LIMITED,",Odisha",
BioWeave,"Thiruvananthapuram,Kerala",Healthcare & Lifesciences
PAY2MENT SOFTWARE TECHNOLOGIES PRIVATE LIMITED,",Delhi",
SE-DI GLOBAL IMPEX PRIVATE LIMITED,"Kanpur Nagar,Uttar Pradesh",Food & Beverages
WINTOCATION LLP,",Jammu and Kashmir",
A S CAPITAL,"Noida,Uttar Pradesh",Waste Management
Runzo Technology Private limited,"Karimganj,Assam",Travel & Tourism
ROSE AXOM CLINIC (OPC) PRIVATE LIMITED,"Kamrup,Assam",Renewable Energy
IMMENSE MANPOWER (OPC) PRIVATE LIMITED,"Jabalpur,Madhya Pradesh",Human Resources
D2S BUSINESS CONSULTING LLP,"Chikballapur,Karnataka",Professional & Commercial Services
RITUDIGITAL TELICOM SERVICES PVT.LTD.,"Bikaner,Rajasthan",Finance Technology
Intecreate Factory Pvt Ltd,"Bengaluru Urban,Karnataka",Advertising
EZ MedTech Solutions,"Chennai,Tamil Nadu",Healthcare & Lifesciences
Yulissa Technologies (OPC) Private Limited,"Nashik,Maharashtra",IT Services
SUFAL SCHOOLWALA LIFESTYLE PRIVATE LIMITED,"Jalgaon,Maharashtra",Textiles & Apparel
SSI INSPECTIONS SERVICES PRIVATE LIMITED,"Indore,Madhya Pradesh",Professional & Commercial Services
BHANU PRTAP DUBEY,"Ahmedabad,Gujarat",
Radhey Shyam Holidays,"North West Delhi,Delhi",Travel & Tourism
EMBLOCK TECH PRIVATE LIMITED,"Cuddalore,Tamil Nadu",Internet of Things
NUTESSENCE PRIVATE LIMITED,"South Delhi,Delhi",Food & Beverages
CODEXCEL TECHNOLOGY,"Balurghat,West Bengal",IT Services
JCAS MANAGEMENT FACILITY & SECURITY SERVICE LLP,"Pune,Maharashtra",Human Resources
ALT Coffees,"Jalna,Maharashtra",Food & Beverages
AZAD ENTERPRISES,"Patiala,Punjab",Technology Hardware
Skytech Caps &amp;amp; Closures,"Dharwad,Karnataka",Technology Hardware
FACEZILA PLATFORMS PRIVATE LIMITED,"Central Delhi,Delhi",IT Services
PINK ARENA HEALTHTEK PRIVATE LIMITED,"South Delhi,Delhi",Healthcare & Lifesciences
BLEND KIN BUSINESS SERVICES PRIVATE LIMITED,"Ranga Reddy,Telangana",IT Services
CASA,"Bengaluru Urban,Karnataka",Construction
Total Herbal Hair Oil,"Nagpur,Maharashtra",Healthcare & Lifesciences
NAVNIRMITI COMPOSITES INNOVATIVE SOLUTIONS LLP,"Pune,Maharashtra",Design
SEEMANT ENGINEERING AND SERVICES LLP,"Pithoragarh,Uttarakhand",Construction
MAHALAXMI INTERNATIONAL GROUP,"Jodhpur,Rajasthan",Fashion
RGInsight LLP,"Chandigarh,Chandigarh",Healthcare & Lifesciences
JIVN SPICES LLP,"Howrah,West Bengal",Food & Beverages
Vidyarthi,"Rewari,Haryana",Education
Autopartswala,"Agra,Uttar Pradesh",Automotive
MINDCELL,"Mumbai,Maharashtra",Education
TRUE TO LIFE MEDIA PRIVATE LIMITED,"Mumbai,Maharashtra",Media & Entertainment
MAXI MILLIYAN EXPORTS,"Tiruppur,Tamil Nadu",Textiles & Apparel
Unite Industries LLP,"Bengaluru Urban,Karnataka",Technology Hardware
TRIYANA ORGANIC EXPORTS PRIVATE LIMITED,",Gujarat",
Orimmos,"Lucknow,Uttar Pradesh",Food & Beverages
AIEGS INDIA PRIVATE LIMITED,"Mumbai,Maharashtra",AI
KHOSMIC MAGNESIUM AND MARINE CHEMICALS PRIVATE LIMITED,"Madurai,Tamil Nadu",Chemicals
KWEESHA SOLUTIONS PRIVATE LIMITED,"Lucknow,Uttar Pradesh",Professional & Commercial Services
SHINE INDIA ENTERPRISES,"Noida,Uttar Pradesh",Advertising
Shri Ram Chandra Engineering and Works,"Jhansi,Uttar Pradesh",Human Resources
Coders Crux,"Ambedkar Nagar,Uttar Pradesh",Education
tensorlearners,"Bengaluru Urban,Karnataka",Analytics
SOLARSE POWER TECHNOLOGIES PVT.LTD,"South Eastdelhi,Delhi",Green Technology
NIMBUSONE TECHNOLOGIES PRIVATE LIMITED,",Tamil Nadu",
NEXEL - Futureize the Innovation,"Mangaluru,Karnataka",IT Services
A.R. SERVICES,"Kanpur Nagar,Uttar Pradesh",Human Resources
"TANGREE,Convert to Electric","North Delhi,Delhi",Automotive
Abroad Gateways Private Limited,"Hyderabad,Telangana",Education
SEEAM DIGITAL PRIVATE LIMITED,"Palanpur,Gujarat",Finance Technology
Sigmaverse,"Hyderabad,Telangana",Marketing
Travelling Trunk Private Limited,"New Delhi,Delhi",Textiles & Apparel
Manupati,"Chennai,Tamil Nadu",IT Services
MALUDTECHNOLOGY INDIA PRIVATE LIMITED,"Puri,Odisha",Food & Beverages
URBAN GRAB CLOTHING PRIVATE LIMITED,"East Delhi,Delhi",Fashion
BETTER PLANET FOOTPRINTS PRIVATE LIMITED,"Indore,Madhya Pradesh",Green Technology
Satyashanti Infratech LLP,"Auraiya,Uttar Pradesh",Construction
FLORISSANTE CLEARING &amp; FORWARDING LLP,"Jaipur,Rajasthan",Logistics
Bio-Quantech Solutions private Limited,"Varanasi,Uttar Pradesh",Renewable Energy
DATAVALLEY INDIA PRIVATE LIMITED,"Hyderabad,Telangana",Education
Theeka Online,"South West Delhi,Delhi",Food & Beverages
Patronus Auto Private Limited,"Kolkata,West Bengal",Automotive
Indicraft Embellish,"Panipat,Haryana",Textiles & Apparel
OCTRIX BUSINESS SOLUTIONS LLP,",Maharashtra",
Sapphire-Trucking Solutions,"Solapur,Maharashtra",Safety
Alcade - The AI Game,"Bengaluru Urban,Karnataka",Media & Entertainment
SV DEFTECH INDIA PRIVATE LIMITED,"Rupnagar,Punjab",Aeronautics Aerospace & Defence
TATTVAM AGROVENTURES PRIVATE LIMITED,"Dehradun,Uttarakhand",Agriculture
Mock World Media,"Lucknow,Uttar Pradesh",Marketing
A B ENTERPRISE,"South 24 Parganas,West Bengal",Human Resources
SHRI PRAKASH ELECTRONICS PRIVATE LIMITED,",Tamil Nadu",
TEJASH SANSKAR WELLNESS PRIVATE LIMITED,"Haridwar,Uttarakhand",Retail
HOT COFFEE MEDIA PRIVATE LIMITED,",West Bengal",
EXHIBIT SOCIAL STUDIOS PRIVATE LIMITED,"Mumbai,Maharashtra",Media & Entertainment
MILKOSE FOOD PROCESSING PRIVATE LIMITED,",Delhi",
RS FOOD PRODUCTS,"Saharanpur,Uttar Pradesh",Food & Beverages
THE SANCHI,"Jorhat,Assam",Marketing
KONNECTYARI TECHNOLOGIES PRIVATE LIMITED,"Bengaluru,Karnataka",Security Solutions
ANANDA GRACE PRIVATE LIMITED,"Dehradun,Uttarakhand",Fashion
UTKRISHT VATIKA FASHION PVT LTD,"Central Delhi,Delhi",Textiles & Apparel
Botsedge Technology Private Limited,"Chennai,Tamil Nadu",Enterprise Software
FRUGALICIOUS INDIA PRIVATE LIMITED,"Kapurthala,Punjab",Food & Beverages
Anfix Ties Pvt Ltd,"Ahmedabad,Gujarat",Other Specialty Retailers
VEDICEDGE GLOBAL LLP,"Hyderabad,Telangana",Fashion
DAILYREADS TECHNOLOGIES PRIVATE LIMITED,",Karnataka",
ELEXL GLOBAL BIZ LLP,"Pune,Maharashtra",Other Specialty Retailers
Sovereign Events,"Mumbai,Maharashtra",Events
EVVI PROPERTIES LLP,"Kanchipuram,Tamil Nadu",Real Estate
KIYAAN JEWELS PVT LTD,"New Delhi,Delhi",Marketing
Hrita Solutions Private Limited,"Mumbai,Maharashtra",Internet of Things
TAGET MARTECH PVT LTD,"Kochi,Kerala",Marketing
PROTOTRIAL ENGINEERING,"Coimbatore,Tamil Nadu",Renewable Energy
GetMedGo,"Ernakulam,Kerala",Healthcare & Lifesciences
ELITE ENGINEERS,"Guwahati,Assam",Construction
First Water Partners Private Limited,"South West Delhi,Delhi",AI
Mrs. Jenny Farm,"Bengaluru Urban,Karnataka",Food & Beverages
ZV ATTKAN DESIGNS PRIVATE LIMITED,"Jhajjar,Haryana",Construction
DANA LOGISTICS LLP,"Mumbai,Maharashtra",Logistics
ACME Inc.,"Bengaluru,Karnataka",AI
GYPRAS INFRA PRIVATE LIMITED,"Kamrup Metro,Assam",Professional & Commercial Services
TRADEMAP IMPORT EXPORT PRIVATE LIMITED,"Pune,Maharashtra",Agriculture
Green Health,"Hyderabad,Telangana",Transportation & Storage
Evolock,"Chennai,Tamil Nadu",Marketing
Urban Eats,"West Delhi,Delhi",Food & Beverages
BARE CRAFT CONSULTING (OPC) PRIVATE LIMITED,",Delhi",
